PERIODO;PM10
2023-10-23 16;207.81
2023-10-23 17;167.69
2023-10-23 18;184.68
2023-10-23 19;163.58
2023-10-23 20;149.77
2023-10-23 21;141.68
2023-10-23 22;151.49
2023-10-23 23;191.59
2023-10-24 00;139.6
2023-10-24 01;123.98
2023-10-24 02;118.16
2023-10-24 03;127.23
2023-10-24 04;104.72
2023-10-24 05;117.4
2023-10-24 06;143.93
2023-10-24 07;127.47
2023-10-24 08;162.51
2023-10-24 09;158.95
2023-10-24 10;183.93
2023-10-24 11;187.67
2023-10-24 12;190.8
2023-10-24 13;199.31
2023-10-24 14;195.57
2023-10-24 15;186.73
2023-10-24 16;141.89
2023-10-24 17;168.34
2023-10-24 18;146.62
2023-10-24 19;155.15
2023-10-24 20;142.78
2023-10-24 21;136.37
2023-10-24 22;118.21
2023-10-24 23;146.17
2023-10-25 00;125.22
2023-10-25 01;98.69
2023-10-25 02;109.94
2023-10-25 03;95.47
2023-10-25 04;115.79
2023-10-25 05;97.3
2023-10-25 06;90.75
2023-10-25 07;95.38
2023-10-25 08;96.75
2023-10-25 09;87.01
2023-10-25 10;
2023-10-25 11;
2023-10-25 12;128.55
2023-10-25 13;98.97
2023-10-25 14;105.9
2023-10-25 15;106.46
2023-10-25 16;103.53
2023-10-25 17;84.67
2023-10-25 18;97.24
2023-10-25 19;74.53
2023-10-25 20;74.3
2023-10-25 21;98.58
2023-10-25 22;101.12
2023-10-25 23;94.97
2023-10-26 00;90.88
2023-10-26 01;91.14
2023-10-26 02;72.35
2023-10-26 03;63.5
2023-10-26 04;31.38
2023-10-26 05;61.38
2023-10-26 06;43.44
2023-10-26 07;88.1
2023-10-26 08;70.35
2023-10-26 09;121.11
2023-10-26 10;126.98
2023-10-26 11;159.48
2023-10-26 12;143.19
2023-10-26 13;102.85
2023-10-26 14;88.42
2023-10-26 15;113.9
2023-10-26 16;99.67
2023-10-26 17;108.03
2023-10-26 18;94.55
2023-10-26 19;98.73
2023-10-26 20;84.04
2023-10-26 21;135.45
2023-10-26 22;97.55
2023-10-26 23;120.8
2023-10-27 00;56.54
2023-10-27 01;99.94
2023-10-27 02;123.66
2023-10-27 03;74.08
2023-10-27 04;83.11
2023-10-27 05;64.82
2023-10-27 06;48.91
2023-10-27 07;31.09
2023-10-27 08;38.7
2023-10-27 09;76.19
2023-10-27 10;120.29
2023-10-27 11;136.04
2023-10-27 12;150.9
2023-10-27 13;128.74
2023-10-27 14;120.6
2023-10-27 15;123.79
2023-10-27 16;103.79
2023-10-27 17;99.03
2023-10-27 18;128.82
2023-10-27 19;98.92
2023-10-27 20;98.66
2023-10-27 21;96.27
2023-10-27 22;92.87
2023-10-27 23;61
2023-10-28 00;59.41
2023-10-28 01;69.03
2023-10-28 02;66.9
2023-10-28 03;69.51
2023-10-28 04;42.49
2023-10-28 05;88.14
2023-10-28 06;79.35
2023-10-28 07;102.21
2023-10-28 08;101.29
2023-10-28 09;141.01
2023-10-28 10;145.03
2023-10-28 11;103.9
2023-10-28 12;114.78
2023-10-28 13;140.62
2023-10-28 14;141.15
2023-10-28 15;118.19
2023-10-28 16;87.93
2023-10-28 17;98.78
2023-10-28 18;53.27
2023-10-28 19;63.07
2023-10-28 20;101.35
2023-10-28 21;87.16
2023-10-28 22;81.05
2023-10-28 23;103.71
2023-10-29 00;111.17
