Nro;PERIODO;PM10
687;2023-07-30 14;
688;2023-07-30 15;
689;2023-07-30 16;
690;2023-07-30 17;
691;2023-07-30 18;
692;2023-07-30 19;
693;2023-07-30 20;
694;2023-07-30 21;
695;2023-07-30 22;
696;2023-07-30 23;
697;2023-07-31 00;
698;2023-07-31 01;
699;2023-07-31 02;
700;2023-07-31 03;
701;2023-07-31 04;
702;2023-07-31 05;
703;2023-07-31 06;
704;2023-07-31 07;
705;2023-07-31 08;
706;2023-07-31 09;
707;2023-07-31 10;
708;2023-07-31 11;
709;2023-07-31 12;
710;2023-07-31 13;
711;2023-07-31 14;
712;2023-07-31 15;
713;2023-07-31 16;
714;2023-07-31 17;
715;2023-07-31 18;
716;2023-07-31 19;
717;2023-07-31 20;
718;2023-07-31 21;
719;2023-07-31 22;29.54
720;2023-07-31 23;26.06
721;2023-08-01 00;27.23
722;2023-08-01 01;28.6
723;2023-08-01 02;32.41
724;2023-08-01 03;35.57
725;2023-08-01 04;43.63
726;2023-08-01 05;39.45
727;2023-08-01 06;51.79
728;2023-08-01 07;63.79
729;2023-08-01 08;45.15
730;2023-08-01 09;44.35
731;2023-08-01 10;42.22
732;2023-08-01 11;43.14
733;2023-08-01 12;42.54
734;2023-08-01 13;34.04
735;2023-08-01 14;28.79
736;2023-08-01 15;33.83
737;2023-08-01 16;33.59
738;2023-08-01 17;39.18
739;2023-08-01 18;39.49
740;2023-08-01 19;36
741;2023-08-01 20;31.99
742;2023-08-01 21;28.47
743;2023-08-01 22;30.17
744;2023-08-01 23;26.48
745;2023-08-02 00;25.23
746;2023-08-02 01;25.95
747;2023-08-02 02;34
748;2023-08-02 03;43.29
749;2023-08-02 04;48.59
750;2023-08-02 05;49.46
751;2023-08-02 06;48.76
752;2023-08-02 07;51.3
753;2023-08-02 08;55.87
754;2023-08-02 09;62.1
755;2023-08-02 10;48.43
756;2023-08-02 11;42.03
757;2023-08-02 12;35.6
758;2023-08-02 13;34.84
759;2023-08-02 14;37.11
760;2023-08-02 15;49.76
761;2023-08-02 16;51.44
762;2023-08-02 17;40.84
763;2023-08-02 18;41.4
764;2023-08-02 19;35.59
765;2023-08-02 20;28.54
766;2023-08-02 21;23.11
767;2023-08-02 22;22.69
768;2023-08-02 23;27.02
769;2023-08-03 00;24.34
770;2023-08-03 01;22.43
771;2023-08-03 02;31.17
772;2023-08-03 03;
773;2023-08-03 04;
774;2023-08-03 05;
775;2023-08-03 06;
776;2023-08-03 07;
777;2023-08-03 08;
778;2023-08-03 09;
779;2023-08-03 10;
780;2023-08-03 11;
781;2023-08-03 12;
782;2023-08-03 13;
783;2023-08-03 14;
784;2023-08-03 15;
785;2023-08-03 16;
786;2023-08-03 17;
787;2023-08-03 18;
788;2023-08-03 19;
789;2023-08-03 20;
790;2023-08-03 21;
791;2023-08-03 22;
792;2023-08-03 23;
793;2023-08-04 00;
794;2023-08-04 01;
795;2023-08-04 02;
796;2023-08-04 03;
797;2023-08-04 04;
798;2023-08-04 05;
799;2023-08-04 06;
800;2023-08-04 07;
801;2023-08-04 08;
802;2023-08-04 09;
803;2023-08-04 10;
804;2023-08-04 11;
805;2023-08-04 12;
806;2023-08-04 13;
807;2023-08-04 14;
808;2023-08-04 15;
809;2023-08-04 16;
810;2023-08-04 17;
811;2023-08-04 18;50.48
812;2023-08-04 19;47
813;2023-08-04 20;34.02
814;2023-08-04 21;27.52
815;2023-08-04 22;21.03
816;2023-08-04 23;23.95
817;2023-08-05 00;25.88
818;2023-08-05 01;28.4
819;2023-08-05 02;33.39
820;2023-08-05 03;33.93
821;2023-08-05 04;34.47
822;2023-08-05 05;34.83
823;2023-08-05 06;40.74
824;2023-08-05 07;56.34
825;2023-08-05 08;54.32
826;2023-08-05 09;43.44
827;2023-08-05 10;38.8
828;2023-08-05 11;43.71
829;2023-08-05 12;42.61
830;2023-08-05 13;44.72
831;2023-08-05 14;56.26
832;2023-08-05 15;56.93
833;2023-08-05 16;60.41
834;2023-08-05 17;55.35
835;2023-08-05 18;43.85
836;2023-08-05 19;36.61
837;2023-08-05 20;38.27
838;2023-08-05 21;38.56
839;2023-08-05 22;31.84
840;2023-08-05 23;35.22
841;2023-08-06 00;33.89
842;2023-08-06 01;35.34
843;2023-08-06 02;61.97
844;2023-08-06 03;71.27
845;2023-08-06 04;37.07
846;2023-08-06 05;43.12
847;2023-08-06 06;28.43
848;2023-08-06 07;26
849;2023-08-06 08;29
850;2023-08-06 09;32.37
851;2023-08-06 10;39.35
852;2023-08-06 11;50.96
853;2023-08-06 12;48.61
854;2023-08-06 13;42.3
855;2023-08-06 14;47.36
856;2023-08-06 15;51.32
857;2023-08-06 16;45.19
858;2023-08-06 17;38.23
859;2023-08-06 18;38.93
860;2023-08-06 19;36.46
861;2023-08-06 20;37.59
862;2023-08-06 21;40.58
863;2023-08-06 22;33.97
864;2023-08-06 23;31.04
865;2023-08-07 00;31.57
866;2023-08-07 01;31.3
867;2023-08-07 02;38.03
868;2023-08-07 03;43.57
869;2023-08-07 04;39.65
870;2023-08-07 05;37.25
871;2023-08-07 06;31.37
872;2023-08-07 07;22
873;2023-08-07 08;21.06
874;2023-08-07 09;18.53
875;2023-08-07 10;20.92
876;2023-08-07 11;22.38
877;2023-08-07 12;22.52
878;2023-08-07 13;24.46
879;2023-08-07 14;30.64
880;2023-08-07 15;43.3
881;2023-08-07 16;49.83
882;2023-08-07 17;49.02
883;2023-08-07 18;37.84
884;2023-08-07 19;35.22
885;2023-08-07 20;34.04
886;2023-08-07 21;32.99
887;2023-08-07 22;32.57
888;2023-08-07 23;25.89
889;2023-08-08 00;25.15
890;2023-08-08 01;30.55
891;2023-08-08 02;42.04
892;2023-08-08 03;41.85
893;2023-08-08 04;40.89
894;2023-08-08 05;30.42
895;2023-08-08 06;30.43
896;2023-08-08 07;42.35
897;2023-08-08 08;43.73
898;2023-08-08 09;30.23
899;2023-08-08 10;42.02
900;2023-08-08 11;38.46
901;2023-08-08 12;40.11
902;2023-08-08 13;46.13
903;2023-08-08 14;52.04
904;2023-08-08 15;58.02
905;2023-08-08 16;64.04
906;2023-08-08 17;61.48
907;2023-08-08 18;60.54
908;2023-08-08 19;50.26
909;2023-08-08 20;33.83
910;2023-08-08 21;27.88
911;2023-08-08 22;34.47
912;2023-08-08 23;30.14
913;2023-08-09 00;31.89
914;2023-08-09 01;36.08
915;2023-08-09 02;40.36
916;2023-08-09 03;39.72
917;2023-08-09 04;40.24
918;2023-08-09 05;44.69
919;2023-08-09 06;48.26
920;2023-08-09 07;47.69
921;2023-08-09 08;50.25
922;2023-08-09 09;63.11
923;2023-08-09 10;70.85
924;2023-08-09 11;60.68
925;2023-08-09 12;58.58
926;2023-08-09 13;61.14
927;2023-08-09 14;54.11
928;2023-08-09 15;48.29
929;2023-08-09 16;45.95
930;2023-08-09 17;49.45
931;2023-08-09 18;36.59
932;2023-08-09 19;30.18
933;2023-08-09 20;31.17
934;2023-08-09 21;35.66
935;2023-08-09 22;35.53
936;2023-08-09 23;34.55
937;2023-08-10 00;38.8
938;2023-08-10 01;42.04
939;2023-08-10 02;35.81
940;2023-08-10 03;38.84
941;2023-08-10 04;41.75
942;2023-08-10 05;42.44
943;2023-08-10 06;44.81
944;2023-08-10 07;40.06
945;2023-08-10 08;34.24
946;2023-08-10 09;27.28
947;2023-08-10 10;29.01
948;2023-08-10 11;27.7
949;2023-08-10 12;28.34
950;2023-08-10 13;34.4
951;2023-08-10 14;27.87
952;2023-08-10 15;23
953;2023-08-10 16;82.1
954;2023-08-10 17;32.16
955;2023-08-10 18;37.77
956;2023-08-10 19;32.13
957;2023-08-10 20;29.28
958;2023-08-10 21;21.52
959;2023-08-10 22;20.57
960;2023-08-10 23;24.72
961;2023-08-11 00;24.64
962;2023-08-11 01;21.87
963;2023-08-11 02;24
964;2023-08-11 03;26.21
965;2023-08-11 04;24.41
966;2023-08-11 05;30.69
967;2023-08-11 06;28.47
968;2023-08-11 07;31.05
969;2023-08-11 08;25.32
970;2023-08-11 09;23.42
971;2023-08-11 10;15.36
972;2023-08-11 11;11.52
973;2023-08-11 12;22.38
974;2023-08-11 13;24.15
